"","x"
"1","X2"
"2","X2"
"3","X2"
"4","X2"
"5","X1"
"6","X1"
"7","X2"
"8","X1"
"9","X2"
"10","X2"
"11","X2"
"12","X2"
"13","X1"
"14","X1"
"15","X1"
"16","X1"
"17","X1"
"18","X2"
"19","X1"
"20","X1"
"21","X2"
"22","X2"
"23","X1"
"24","X2"
"25","X2"
"26","X1"
"27","X2"
"28","X2"
"29","X2"
"30","X2"
"31","X2"
"32","X2"
"33","X1"
"34","X2"
"35","X1"
"36","X1"
"37","X2"
"38","X2"
"39","X1"
"40","X2"
"41","X1"
"42","X2"
"43","X2"
"44","X2"
"45","X2"
"46","X1"
"47","X1"
"48","X2"
"49","X1"
"50","X2"
"51","X1"
"52","X2"
"53","X1"
"54","X1"
"55","X1"
"56","X2"
"57","X1"
"58","X2"
"59","X2"
"60","X1"
"61","X1"
"62","X1"
"63","X1"
"64","X2"
"65","X1"
"66","X2"
"67","X2"
"68","X2"
"69","X1"
"70","X1"
"71","X2"
"72","X2"
"73","X2"
"74","X2"
"75","X1"
"76","X1"
"77","X1"
"78","X2"
"79","X1"
"80","X1"
"81","X1"
"82","X2"
"83","X1"
"84","X2"
"85","X1"
"86","X2"
"87","X2"
"88","X1"
"89","X2"
"90","X2"
"91","X2"
"92","X2"
"93","X2"
"94","X1"
"95","X2"
"96","X2"
"97","X2"
"98","X2"
"99","X1"
"100","X1"
"101","X1"
"102","X1"
"103","X2"
"104","X1"
"105","X2"
"106","X2"
"107","X1"
"108","X1"
"109","X2"
"110","X1"
"111","X2"
"112","X2"
"113","X1"
"114","X2"
"115","X1"
"116","X2"
"117","X1"
"118","X1"
"119","X2"
"120","X2"
"121","X2"
"122","X1"
"123","X1"
"124","X1"
"125","X2"
"126","X2"
"127","X2"
"128","X1"
"129","X1"
"130","X1"
"131","X2"
"132","X1"
"133","X2"
"134","X2"
"135","X2"
"136","X1"
"137","X1"
"138","X1"
"139","X2"
"140","X1"
"141","X2"
"142","X1"
"143","X1"
"144","X1"
"145","X2"
"146","X2"
"147","X2"
"148","X1"
"149","X2"
"150","X2"
"151","X1"
"152","X1"
"153","X1"
"154","X1"
"155","X2"
"156","X2"
"157","X1"
"158","X1"
"159","X2"
"160","X2"
"161","X1"
"162","X1"
"163","X1"
"164","X1"
"165","X2"
"166","X1"
"167","X1"
"168","X2"
"169","X1"
"170","X1"
"171","X1"
"172","X2"
"173","X2"
"174","X2"
"175","X2"
"176","X2"
"177","X2"
"178","X2"
"179","X2"
"180","X1"
"181","X1"
"182","X2"
"183","X1"
"184","X1"
"185","X1"
"186","X2"
"187","X2"
"188","X2"
"189","X1"
"190","X1"
"191","X2"
"192","X1"
"193","X1"
"194","X2"
"195","X1"
"196","X2"
"197","X1"
"198","X2"
"199","X2"
"200","X2"
"201","X1"
"202","X2"
"203","X1"
"204","X1"
"205","X2"
"206","X1"
"207","X2"
"208","X2"
"209","X1"
"210","X1"
"211","X1"
"212","X2"
"213","X1"
"214","X1"
"215","X2"
"216","X1"
"217","X1"
"218","X2"
"219","X2"
"220","X2"
"221","X1"
"222","X1"
"223","X1"
"224","X2"
"225","X2"
"226","X1"
"227","X2"
"228","X2"
"229","X2"
"230","X1"
"231","X2"
"232","X1"
"233","X1"
"234","X2"
"235","X2"
"236","X2"
"237","X2"
"238","X2"
"239","X1"
"240","X1"
"241","X2"
"242","X1"
"243","X1"
"244","X2"
"245","X1"
"246","X2"
"247","X1"
"248","X2"
"249","X1"
"250","X1"
"251","X2"
"252","X2"
"253","X1"
"254","X1"
"255","X2"
"256","X1"
"257","X2"
"258","X1"
"259","X2"
"260","X2"
"261","X1"
"262","X2"
"263","X1"
"264","X2"
"265","X1"
"266","X2"
"267","X2"
"268","X1"
"269","X2"
"270","X1"
"271","X2"
"272","X2"
"273","X1"
"274","X2"
"275","X1"
"276","X1"
"277","X2"
"278","X1"
"279","X2"
"280","X2"
"281","X2"
"282","X2"
"283","X1"
"284","X1"
"285","X1"
"286","X1"
"287","X2"
"288","X1"
